Schritt,Zustand,Zeit,Programmdauer,Schrittdauer,Zyklus,Zyklusebene,Prozedur,Prozedurebene,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,AACStart,MinIntervalTime,CountOfPeriods,Status,EisError,U1,Zreal1,Zimg1,ActFreq,UIdeal,AStart,MinDuration,MinPeriods,RemTime,VRelativ,AAmplitude,Betrag,Phase
,,,,,,,,,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS
3,PAU,2013-01-25 19:09:13.84,72.0,5.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.053920269012451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 02:30:14.1,2.6460334E7,2.6460267E7,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.863635540008545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 02:30:14.22,2.646035E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,2.0,2.5,4.19999999999709,3.0,0.0,0.1000000000000227,1.0,2.0,0.0,0.0,3.863611936569214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 03:00:16.29,2.8262408E7,1802058.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 03:00:16.35,2.8262423E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.865652561187744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 06:57:29.03,4.2495077E7,1.4232654E7,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.872445821762085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 06:57:29.17,4.2495105E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,2.0,2.5,4.19999999999709,3.0,0.0,0.1000000000000227,1.0,2.0,0.0,0.0,3.872445821762085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 07:27:30.83,4.4296755E7,1801650.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 07:27:30.89,4.4296771E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 10:10:20.31,5.4066179E7,9769408.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.864375591278076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 10:10:20.4,5.4066193E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,2.0,2.5,4.19999999999709,3.0,0.0,0.1000000000000227,1.0,2.0,0.0,0.0,3.864375591278076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 10:40:22.22,5.5867996E7,1801803.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 10:40:22.29,5.5868012E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.865617036819458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 17:29:51.34,8.0437048E7,2.4569036E7,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.714950084686279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 17:29:51.45,8.0437065E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,2.0,2.5,4.19999999999709,3.0,0.0,0.1000000000000227,1.0,2.0,0.0,0.0,3.714950084686279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 17:59:53.31,8.2238902E7,1801837.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 17:59:53.37,8.223892E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 21:36:11.69,9.5217222E7,1.2978302E7,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.708253622055054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 21:36:11.81,9.5217238E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,2.0,2.5,4.19999999999709,3.0,0.0,0.1000000000000227,1.0,2.0,0.0,0.0,3.708275079727173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-26 22:06:13.52,9.7018931E7,1801693.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-26 22:06:13.58,9.7018948E7,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.709615707397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-27 00:45:10.35,1.06555698E8,9536750.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.717184543609619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-27 00:45:10.46,1.06555718E8,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,2.0,2.5,4.19999999999709,3.0,0.0,0.1000000000000227,1.0,2.0,0.0,0.0,3.717184543609619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-27 01:15:15.54,1.08360779E8,1805061.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
